"","latitude","longitude","name","address","raw_visit_counts"
"1",30.61126,-96.303868,"Express Stop","450 Southwest Pkwy E",76
"2",30.612299,-96.34121,"Huerta's Taqueria","150 Lamar Street At Memorial Student Ctr Texas A&M",5
"3",30.617512,-96.346936,"Chevron","301 University Dr",79
"4",30.584538,-96.286347,"Exxon Express Mart","3998 State Highway 6 S",331
"5",30.56841,-96.29635,"DD's Express Mart","600 Graham Rd",43
"6",30.591452,-96.330757,"CITGO","101 Southwest Pkwy",199
"7",30.600655,-96.300233,"Exxon Mobil","2801 Texas Ave S",55
"8",30.639974,-96.312169,"Exxon Mobil","804 Earl Rudder Fwy S",267
"9",30.593227,-96.293331,"Shell Oil","3300 South Texas Avenue",95
"10",30.61568,-96.31906,"Exxon Mobil","1721 Texas Ave S",193
"11",30.611349,-96.303947,"Shell Oil","450 Southwest Pkwy E",95
"12",30.571261,-96.273825,"Chevron","4150 State Highway 6 S",228
"13",30.571165,-96.310088,"Exxon Mobil","12727 FM 2154 Rd",551
"14",30.584994,-96.283371,"Valero Energy","2160 Rock Prairie Rd",316
"15",30.598116,-96.302913,"Texaco","2201 Longmire Dr",114
"16",30.571956,-96.310779,"Shell Oil","12677 FM 2154 Rd",319
"17",30.631301,-96.301377,"Shell Oil","2601 Harvey Rd",166
"18",30.620207,-96.343825,"Shell Oil","609 University Dr",184
"19",30.568335,-96.296241,"Chevron","600 Graham Rd",137
"20",30.598786,-96.301777,"Murphy USA","2220 Harvey Mitchell Pkwy S",120
"21",30.589678,-96.31568,"Exxon Mobil","1800 Harvey Mitchell Pkwy S",62
"22",30.594974,-96.323324,"Shell Oil","1800 Welsh Ave",96
"23",30.629048,-96.303772,"Exxon Mobil","1601 Harvey Rd",129
"24",30.639915,-96.312153,"Drew's Exxon & Express Mart","804 Earl Rudder Fwy S",26
"25",30.596332,-96.333462,"Aggie Crossroads Store","1011 Wellborn Rd",156
"26",30.654793,-96.276676,"Chevron","2000 FM 158 Rd",99
"27",30.552368,-96.264863,"Rattlers","1780 Greens Prairie Rd W",59
"28",30.600736,-96.300343,"Frankie's Food Mart","2801 Texas Ave S",125
"29",30.596326,-96.333575,"Valero Energy","1011 Wellborn Rd",220
"30",30.620234,-96.34394,"ZIP 'N Food Store 131","609 University Dr",87
"31",30.606123,-96.337021,"Shell Oil","400 George Bush Dr",143
"32",30.538513,-96.301186,"Chevron","14725 FM 2154 Rd",212
"33",30.571914,-96.326479,"Chevron","3201 Holleman Dr S Ste 100",29
"34",30.560651,-96.257129,"A&M Expressway","1101 William D Fitch Pkwy",55
"35",30.628197,-96.334923,"Exxon Mobil","425 Texas Ave S",281
"36",30.619451,-96.314742,"Valero Energy","603 Harvey Rd",138
"37",30.640003,-96.3122,"Gateway Express","804 Earl Rudder Fwy S",41
"38",30.616704,-96.338222,"Aggie Express","400 Spence St",58
"39",30.587555,-96.338611,"Rattler's Country Store No 7","2050 Holleman Dr W",180
"40",30.624678,-96.330425,"Valero Energy","901 Texas Ave S",87
"41",30.560658,-96.257193,"Exxon Mobil","1103 William D Fitch Pkwy",212
"42",30.587601,-96.338534,"Shell Oil","8984 White Creek Rd",23
"43",30.633939,-96.302315,"Sam's Club Fuel Center","1405 Earl Rudder Fwy S",242
"44",30.587461,-96.337158,"Exxon Mobil","2111 Holleman Dr W",45
"45",30.589605,-96.315806,"Exxon Express Mart No 104","1800 Harvey Mitchell Pkwy S",123
